"","Name","P.name","ID","State","State.ID","Lat","Lon","Stn.name","Stn.stDate","Stn.edDate"
"103","SpringfieldMO","Springfield","USW00013995","Missouri","MO",37.2353,-93.4003,"SPRINGFIELD CITY","1897-01-01","1939-12-31"
"104","SpringfieldMO","Springfield","USW00013995","Missouri","MO",37.2353,-93.4003,"SPRINGFIELD REGIONAL ARPT","1940-01-01","2021-12-31"
"105","KansasCity","Kansas City","USW00003947","Missouri","MO",39.2972,-94.7306,"KANSAS CITY","1889-01-01","1933-12-31"
"106","KansasCity","Kansas City","USW00003947","Missouri","MO",39.2972,-94.7306,"KANSAS CITY DOWNTOWN AP","1934-01-01","1972-09-30"
"107","KansasCity","Kansas City","USW00003947","Missouri","MO",39.2972,-94.7306,"KANSAS CITY INTL AP","1972-10-01","2021-12-31"
"108","Helena","Helena","USW00024144","Montana","MT",46.6056,-111.9636,"HELENA WBO","1881-01-01","1940-04-30"
"109","Helena","Helena","USW00024144","Montana","MT",46.6056,-111.9636,"HELENA REGIONAL AIRPORT","1940-05-01","2021-12-31"
"110","Havre","Havre","USW00094012","Montana","MT",48.5428,-109.7633,"HAVRE","1880-01-01","1961-01-31"
"111","Havre","Havre","USW00094012","Montana","MT",48.5428,-109.7633,"HAVRE CITY-COUNTY AP","1961-02-01","2021-12-31"
"112","Valentine","Valentine","USW00024032","Nebraska","NE",42.8783,-100.55,"VALENTINE MILLER FIELD","1890-01-01","2021-12-31"
"113","Omaha","Omaha","USW00014942","Nebraska","NE",41.3103,-95.8992,"OMAHA WBO","1871-01-01","1935-05-31"
"114","Omaha","Omaha","USW00014942","Nebraska","NE",41.3103,-95.8992,"OMAHA EPPLEY AIRFIELD","1935-06-01","1977-05-31"
"115","Omaha","Omaha","USW00014942","Nebraska","NE",41.3103,-95.8992,"OMAHA WSFO","1977-06-01","1993-12-31"
"116","Omaha","Omaha","USW00014942","Nebraska","NE",41.3103,-95.8992,"OMAHA EPPLEY AIRFIELD","1994-01-01","2021-12-31"
"117","NorthPlatte","North Platte","USW00024023","Nebraska","NE",41.1214,-100.6694,"NORTH PLATTE","1875-01-01","1947-12-31"
"118","NorthPlatte","North Platte","USW00024023","Nebraska","NE",41.1214,-100.6694,"NORTH PLATTE REGIONAL AP","1948-01-01","2021-12-31"
"119","Winnemucca","Winnemucca","USW00024128","Nevada","NV",40.9017,-117.8081,"WINNEMUCCA WB CITY","1878-01-01","1949-09-14"
"120","Winnemucca","Winnemucca","USW00024128","Nevada","NV",40.9017,-117.8081,"WINNEMUCCA MUNICIPAL ARPT","1949-09-15","2021-12-31"
"121","Concord","Concord","USW00014745","New Hampshire","NH",43.1953,-71.5011,"CONCORD CITY","1868-01-01","1941-04-30"
"122","Concord","Concord","USW00014745","New Hampshire","NH",43.1953,-71.5011,"CONCORD MUNICIPAL ARPT","1941-05-01","2021-12-31"
"123","Roswell","Roswell","USW00023009","New Mexico","NM",33.3075,-104.5083,"ROSWELL MUNI AP","1893-01-01","1972-11-30"
"124","Roswell","Roswell","USW00023009","New Mexico","NM",33.3075,-104.5083,"ROSWELL INDUSTRIAL AIR PARK","1972-12-01","2021-12-31"
"125","Albuquerque","Albuquerque","USW00023050","New Mexico","NM",35.0419,-106.6156,"ALBUQUERQUE INTL ARPT","1892-01-01","2021-12-31"
"126","RochesterNY","Rochester","USW00014768","New York","NY",43.1167,-77.6767,"ROCHESTER CITY","1871-01-01","1940-09-30"
"127","RochesterNY","Rochester","USW00014768","New York","NY",43.1167,-77.6767,"ROCHESTER GREATER ROCHESTER IN","1940-10-01","2021-12-31"
"128","NewYork","New York","USW00094728","New York","NY",40.7789,-73.9692,"NEW YORK CENTRAL PARK OBS","1869-01-01","2021-12-31"
"129","Albany","Albany","USW00014735","New York","NY",42.7431,-73.8092,"ALBANY","1874-01-01","1938-05-31"
"130","Albany","Albany","USW00014735","New York","NY",42.7431,-73.8092,"ALBANY COUNTY AP","1938-06-01","2021-12-31"
"131","Raleigh","Raleigh","USW00013722","North Carolina","NC",35.8922,-78.7819,"RALEIGH CITY","1887-01-01","1944-05-17"
"132","Raleigh","Raleigh","USW00013722","North Carolina","NC",35.8922,-78.7819,"RALEIGH DURHAM INTERNATIONAL AP","1944-05-18","2021-12-31"
"133","Charlotte","Charlotte","USW00013881","North Carolina","NC",35.2236,-80.9553,"CHARLOTTE CITY","1879-01-01","1948-08-31"
"134","Charlotte","Charlotte","USW00013881","North Carolina","NC",35.2236,-80.9553,"CHARLOTTE DOUGLAS INTL ARPT","1948-09-01","2021-12-31"
"135","Williston","Williston","USW00094014","North Dakota","ND",48.1739,-103.6367,"WILLISTON WBO","1894-01-01","1948-06-30"
"136","Williston","Williston","USW00094014","North Dakota","ND",48.1739,-103.6367,"WILLISTON SLOULIN INTL AP","1948-07-01","2021-12-31"
"137","Fargo","Fargo","USW00014914","North Dakota","ND",46.9253,-96.8111,"MOORHEAD WBO","1881-01-01","1942-01-31"
"138","Fargo","Fargo","USW00014914","North Dakota","ND",46.9253,-96.8111,"FARGO HECTOR INTERNATIONAL AP","1942-02-01","2021-12-31"
"139","Bismarck","Bismarck","USW00024011","North Dakota","ND",46.7708,-100.7603,"BISMARCK MUNICIPAL ARPT","1875-01-01","2021-12-31"
"140","ColumbusOH","Columbus","USW00014821","Ohio","OH",39.9914,-82.8808,"COLUMBUS","1879-01-01","1947-12-31"
"141","ColumbusOH","Columbus","USW00014821","Ohio","OH",39.9914,-82.8808,"COLUMBUS PORT COLUMBUS INTL AP","1948-01-01","2021-12-31"
"142","Oklahoma","Oklahoma","USW00013967","Oklahoma","OK",35.3889,-97.6006,"OKLAHOMA CITY WBO","1891-01-01","1953-12-31"
"143","Oklahoma","Oklahoma","USW00013967","Oklahoma","OK",35.3889,-97.6006,"OKLAHOMA CITY WILL ROGERS AP","1954-01-01","2021-12-31"
"144","Pittsburgh","Pittsburgh","USW00094823","Pennsylvania","PA",40.4847,-80.2144,"PITTSBURGH CITY","1871-01-01","1935-06-30"
"145","Pittsburgh","Pittsburgh","USW00094823","Pennsylvania","PA",40.4847,-80.2144,"ALLEGHENY COUNTY AP","1935-07-01","1952-09-14"
"146","Pittsburgh","Pittsburgh","USW00094823","Pennsylvania","PA",40.4847,-80.2144,"PITTSBURGH INTERNATIONAL AP","1952-09-15","2021-12-31"
"147","Philadelphia","Philadelphia","USW00013739","Pennsylvania","PA",39.8683,-75.2311,"PHILADELPHIA WBO","1872-01-01","1940-06-19"
"148","Philadelphia","Philadelphia","USW00013739","Pennsylvania","PA",39.8683,-75.2311,"PHILADELPHIA INTERNATIONAL AP","1940-06-20","2021-12-31"
"149","MiddletownHarrisburg","Middletown Harrisburg","USW00014711","Pennsylvania","PA",40.1936,-76.7633,"HARRISBURG CITY","1889-01-01","1938-12-31"
"150","MiddletownHarrisburg","Middletown Harrisburg","USW00014711","Pennsylvania","PA",40.1936,-76.7633,"HARRISBURG CAPITAL CITY ARPT","1939-01-01","1991-09-30"
"151","MiddletownHarrisburg","Middletown Harrisburg","USW00014711","Pennsylvania","PA",40.1936,-76.7633,"MIDDLETOWN HARRISBURG INTL AP","1991-10-01","2021-12-31"
"152","Erie","Erie","USW00014860","Pennsylvania","PA",42.08,-80.1825,"ERIE CITY","1874-01-01","1953-07-31"
"153","Erie","Erie","USW00014860","Pennsylvania","PA",42.08,-80.1825,"ERIE INTERNATIONAL AP","1953-08-01","2021-12-31"
"154","ColumbiaSC","Columbia","USW00013883","South Carolina","SC",33.9486,-81.1186,"COLUMBIA CITY SC","1888-01-01","1947-12-31"
"155","ColumbiaSC","Columbia","USW00013883","South Carolina","SC",33.9486,-81.1186,"COLUMBIA METRO ARPT","1948-01-01","2021-12-31"
"156","SiouxFalls","Sioux Falls","USW00014944","South Dakota","SD",43.5878,-96.7289,"SIOUX FALLS FOSS FIELD","1893-01-01","2021-12-31"
"157","Huron","Huron","USW00014936","South Dakota","SD",44.3981,-98.2231,"HURON REGIONAL ARPT","1882-01-01","2021-12-31"
"158","Nashville","Nashville","USW00013897","Tennessee","TN",36.1189,-86.6892,"NASHVILLE CITY","1872-01-01","1939-12-31"
"159","Nashville","Nashville","USW00013897","Tennessee","TN",36.1189,-86.6892,"NASHVILLE INTERNATIONAL AP","1940-01-01","2021-12-31"
"160","Memphis","Memphis","USW00013893","Tennessee","TN",35.0564,-89.9864,"MEMPHIS","1872-01-01","1939-12-31"
"161","Memphis","Memphis","USW00013893","Tennessee","TN",35.0564,-89.9864,"MEMPHIS INTERNATIONAL AP","1940-01-01","2021-12-31"
"162","Chattanooga","Chattanooga","USW00013882","Tennessee","TN",35.0311,-85.2014,"CHATTANOOGA WB CITY","1879-01-01","1940-06-30"
"163","Chattanooga","Chattanooga","USW00013882","Tennessee","TN",35.0311,-85.2014,"CHATTANOOGA LOVELL FIELD AP","1940-07-01","2021-12-31"
"164","SanAntonio","San Antonio","USW00012921","Texas","TX",29.5442,-98.4839,"SAN ANTONIO WBO","1886-01-01","1940-12-31"
"165","SanAntonio","San Antonio","USW00012921","Texas","TX",29.5442,-98.4839,"SAN ANTONIO STINSON","1941-01-01","1942-06-30"
"166","SanAntonio","San Antonio","USW00012921","Texas","TX",29.5442,-98.4839,"SAN ANTONIO INTL AP","1942-07-01","2021-12-31"
"167","Houston","Houston","USW00012960","Texas","TX",29.98,-95.36,"HOUSTON WB CITY","1889-01-01","1969-05-31"
"168","Houston","Houston","USW00012960","Texas","TX",29.98,-95.36,"HOUSTON BUSH INTERCONTINENTAL","1969-06-01","2021-12-31"
"169","DallasFortWorth","Dallas Fort Worth","USW00003927","Texas","TX",32.8978,-97.0189,"FORT WORTH CITY OFFICES","1899-01-01","1940-01-04"
"170","DallasFortWorth","Dallas Fort Worth","USW00003927","Texas","TX",32.8978,-97.0189,"FORT WORTH MEACHAM FIELD","1940-01-05","1953-04-25"
"171","DallasFortWorth","Dallas Fort Worth","USW00003927","Texas","TX",32.8978,-97.0189,"FORT WORTH GREATER SW INTL AP","1953-04-26","1974-08-13"
"172","DallasFortWorth","Dallas Fort Worth","USW00003927","Texas","TX",32.8978,-97.0189,"DALLAS-FORT WORTH INTL AP","1974-08-14","2021-12-31"
"173","CorpusChristi","Corpus Christi","USW00012924","Texas","TX",27.8,-97.4,"CORPUS CHRISTI CITY","1888-01-01","1942-10-14"
"174","CorpusChristi","Corpus Christi","USW00012924","Texas","TX",27.8,-97.4,"CORPUS CHRISTI INTL ARPT","1942-10-15","2021-12-31"
"175","Amarillo","Amarillo","USW00023047","Texas","TX",35.2333,-101.7089,"AMARILLO CITY","1892-01-01","1941-03-31"
"176","Amarillo","Amarillo","USW00023047","Texas","TX",35.2333,-101.7089,"AMARILLO INTERNATIONAL AP","1941-04-01","2021-12-31"
"177","Abilene","Abilene","USW00013962","Texas","TX",32.4106,-99.6822,"ABILENE CITY","1886-01-01","1944-02-29"
"178","Abilene","Abilene","USW00013962","Texas","TX",32.4106,-99.6822,"ABILENE REGIONAL AP","1943-03-01","2021-12-31"
"179","SaltLakeCity","Salt Lake City","USW00024127","Utah","UT",40.7781,-111.9694,"SALT LAKE CITY DOWNTOWN","1875-01-01","1928-04-30"
"180","SaltLakeCity","Salt Lake City","USW00024127","Utah","UT",40.7781,-111.9694,"SALT LAKE CITY INTL ARPT","1928-05-01","2021-12-31"
"181","NorfolkVA","Norfolk","USW00013737","Virginia","VA",36.9033,-76.1922,"NORFOLK WBO","1874-01-01","1945-12-31"
"182","NorfolkVA","Norfolk","USW00013737","Virginia","VA",36.9033,-76.1922,"NORFOLK INTERNATIONAL AP","1946-01-01","2021-12-31"
"183","Lynchburg","Lynchburg","USW00013733","Virginia","VA",37.3208,-79.2067,"LYNCHBURG WBO","1893-01-01","1944-07-31"
"184","Lynchburg","Lynchburg","USW00013733","Virginia","VA",37.3208,-79.2067,"LYNCHBURG REGIONAL ARPT","1944-08-01","2021-12-31"
"185","Spokane","Spokane","USW00024157","Washington","WA",47.6217,-117.5281,"SPOKANE INTERNATIONAL AP","1882-01-01","2021-12-31"
"186","Seattle","Seattle","USW00024233","Washington","WA",47.4444,-122.3139,"SEATTLE CITY OFFICE","1894-01-01","1944-12-31"
"187","Seattle","Seattle","USW00024233","Washington","WA",47.4444,-122.3139,"SEATTLE SEATTLE-TACOMA INTL AP","1945-01-01","2021-12-31"
"188","EauClaire","Eau Claire","USW00014991","Wisconsin","WI",44.8664,-91.4878,"Eau Claire City","1893-01-01","1949-09-30"
"189","EauClaire","Eau Claire","USW00014991","Wisconsin","WI",44.8664,-91.4878,"Eau Claire Chippewa Valley Regional Airport","1949-10-01","2021-12-31"
"190","Milwaukee","Milwaukee","USW00014839","Wisconsin","WI",42.955,-87.9044,"MILWAUKEE WBO","1871-01-01","1941-02-28"
"191","Milwaukee","Milwaukee","USW00014839","Wisconsin","WI",42.955,-87.9044,"MILWAUKEE MITCHELL INTL AP","1941-03-01","2021-12-31"
"192","Madison","Madison","USW00014837","Wisconsin","WI",43.1406,-89.3453,"MADISON WB CITY","1869-01-01","1946-12-31"
"193","Madison","Madison","USW00014837","Wisconsin","WI",43.1406,-89.3453,"MADISON DANE CO REGIONAL ARPT","1947-01-01","2021-12-31"
"194","LaCrosse","La Crosse","USW00014920","Wisconsin","WI",43.8789,-91.2528,"LA CROSSE","1873-01-01","1950-12-31"
"195","LaCrosse","La Crosse","USW00014920","Wisconsin","WI",43.8789,-91.2528,"LA CROSSE MUNICIPAL AP","1951-01-01","1985-09-30"
"196","LaCrosse","La Crosse","USW00014920","Wisconsin","WI",43.8789,-91.2528,"LA CROSSE","1985-10-01","1986-01-31"
"197","LaCrosse","La Crosse","USW00014920","Wisconsin","WI",43.8789,-91.2528,"LA CROSSE MUNICIPAL AP","1986-02-01","2021-12-31"
"198","GreenBay","Green Bay","USW00014898","Wisconsin","WI",44.4983,-88.1111,"GREEN BAY AUSTIN STRAUBEL INTL","1897-01-01","2021-12-31"
"199","Lander","Lander","USW00024021","Wyoming","WY",42.8153,-108.7261,"LANDER WBO","1892-01-01","1946-05-28"
"200","Lander","Lander","USW00024021","Wyoming","WY",42.8153,-108.7261,"LANDER HUNT FIELD","1946-05-29","2021-12-31"
"201","Cheyenne","Cheyenne","USW00024018","Wyoming","WY",41.1519,-104.8061,"CHEYENNE WBO","1871-01-01","1935-08-31"
"202","Cheyenne","Cheyenne","USW00024018","Wyoming","WY",41.1519,-104.8061,"CHEYENNE MUNICIPAL ARPT","1935-09-01","2021-12-31"
